,lon,lat,variable
0,-101.85396016489696,33.6891717931716,1
1,-90.89866299856988,41.62120956371565,1
2,-76.35543496866002,36.59527604221831,1
3,-77.95354137092764,35.2006549667783,1
4,-117.54352619986484,33.75247410666461,1
5,-75.38740408756333,41.48681132423932,2
6,-94.3353964721494,32.5356749231962,3
7,-89.81312589245202,45.53853223715805,2
8,-99.56006553265284,29.91993483323448,2
9,-91.496583096072,38.68360862009448,2
10,-74.00322401400985,42.03878685675163,1
11,-89.68454995776848,41.78109233965576,3
12,-74.86691578546856,39.004064950862,1
13,-102.26820145910229,33.1854812544181,3
14,-119.65083620762744,41.63288610923748,1
15,-123.04587251697168,45.64168808885089,1
16,-82.06003215182244,36.148088878779575,1
17,-106.49442350776854,39.62509977141991,2
18,-106.8972744274582,34.08050407293018,3
19,-99.07197589897478,40.65973031844989,3
20,-79.0412101161335,40.19460464128971,2
21,-81.47487789216613,27.42540413603968,2
22,-111.01262831672022,45.637608129166345,2
23,-84.81588937784795,44.08660244039466,3
24,-76.16947681674553,40.55152135446741,3
25,-90.03122532970555,31.89737929405801,1
26,-74.31903616948128,41.791274046010045,1
27,-81.4599318717085,28.09950054398285,1
28,-99.16856532003584,30.078863144620254,3
29,-82.65311583940994,34.8977202167286,1
30,-80.13661983140783,26.78313219050329,1
31,-81.02855235105172,38.46004658703514,1
32,-69.87583635046522,44.461423608249895,2
33,-93.42568389846528,41.63342309238261,1
34,-97.81084629862583,39.81210756947793,2
35,-95.4711050656601,30.84053390021741,2
36,-78.32948195492752,35.84846881064789,1
37,-89.34606027553062,35.655299580491224,2
38,-121.26228469772228,44.29665058284351,1
39,-96.38057034238176,46.40961518186258,2
40,-79.47108641220447,34.77390558413868,3
41,-92.67118484365,30.24246183850596,3
42,-91.36645062740998,40.628647564434885,2
43,-97.59880079904464,30.42610892980478,1
44,-97.87346190358724,27.510373437389333,3
45,-77.04467173457004,40.05601969441264,1
46,-83.39135313456488,42.08788409879556,1
47,-83.50044843988668,45.34353726355733,2
48,-75.70860941990352,40.19840704985388,1
49,-82.54401264517611,37.73334010170967,2
50,-121.51008145690533,37.07587082904684,1
51,-80.84557345874947,35.672218196872585,2
52,-90.81628454351478,44.29028328378472,3
53,-83.37650868512975,43.21314969401726,1
54,-85.36473954083758,41.52378777191046,2
55,-80.87976197783631,32.24236792855047,3
56,-78.9514504730136,33.85596450532335,1
57,-87.10780059966831,37.22305777436616,3
58,-81.8195344105243,28.14028598578106,1
59,-96.8744757110513,35.52057006750408,1
60,-90.42800848358962,30.51180080050748,3
61,-98.23135998800385,34.730190417476976,1
62,-112.52960117023714,33.811216093489925,1
63,-96.15589777114197,36.03327206977436,1
64,-85.54107960231671,31.28160620347123,2
65,-99.7127933224176,32.3332243826305,1
66,-123.10636847964516,44.60837619299091,3
67,-81.7093066595373,32.16561452897403,1
68,-83.01495755768069,39.408607761901614,2
69,-82.0976661365218,31.975392958448577,2
70,-88.70858666365693,31.03959706208212,2
71,-122.7325664288485,48.26598014075704,3
72,-95.65462103910296,30.153543076405796,1
73,-76.75898792901143,34.71808293943305,3
74,-94.7826165023504,47.3864850878758,2
75,-83.25449834657867,31.180202468107712,2
76,-83.76191579560448,36.89189032726378,2
77,-93.74791969159092,45.76817545053933,3
78,-94.38313306628484,45.617922202852434,1
79,-88.66533992011813,41.072795608048686,2
80,-103.3108895142415,44.15082108207635,1
81,-89.72139920232226,31.171768234766645,2
82,-93.17228907783092,42.39632502045608,2
83,-77.99774389035213,35.4127648037458,1
84,-79.45023034313354,37.77440158789369,3
85,-95.17732718756776,30.84289385848367,3
86,-72.21021268928224,41.760377036824266,1
87,-123.08849502665568,48.07353457321569,3
88,-116.864892044716,48.0650076704131,2
89,-85.15197063404256,34.37942959059413,1
90,-122.21683784193856,38.2973782566831,1
91,-82.77900813027547,39.31105398113398,2
92,-111.01254095397296,32.165187393406384,1
93,-88.7102553945851,32.398195368919666,3
94,-85.81778880863071,41.60268115064753,1
95,-93.65191286495065,44.79549254633319,1
96,-80.5244887866844,35.74963992640503,2
97,-82.41557469238674,34.955978020550425,1
98,-89.61074881826282,36.91971359405778,3
99,-85.80699171254388,33.54936034059028,3
100,-90.82486676652437,31.854892602914465,2
101,-91.70559608227056,35.24279340446123,3
102,-90.25870232640362,30.440796493655807,3
103,-99.40925498024713,30.99121309893772,3
104,-89.13006920894107,38.50830976170722,3
105,-103.68198764228862,30.351121833194597,3
106,-85.99427224652311,32.91987070682359,3
107,-81.77154599883899,30.84670184497015,3
108,-82.1076015480609,35.10458102612224,1
109,-83.10621896043477,40.58986970247081,3
110,-80.7762267537987,36.52278574058455,2
111,-78.83641825542253,34.396479737792326,2
112,-77.7990728034206,40.3288114284785,2
113,-70.03779151806084,44.01577769510365,1
114,-98.47362159033838,29.727922342943145,1
115,-90.92244096904238,32.18351691704313,2
116,-85.25122248408327,34.82046046092546,1
117,-79.12984338121225,34.43857424759298,2
118,-84.91360496849622,33.64315701370961,1
119,-88.72437173748699,35.24762441392928,1
120,-116.98789140021762,34.40045344292775,1
121,-83.80359930936605,32.03580074700973,3
122,-86.3844198399009,30.54677509423887,3
123,-75.67665147816642,40.29481940412912,1
124,-80.29075240267545,35.27042535945542,2
125,-102.32363134041938,33.58988955518684,3
126,-97.16479121196711,32.99001698617797,1
127,-134.42277396051904,58.698434512910985,3
128,-81.1467080925136,40.89132542470135,1
129,-82.71205570549236,33.03326460421913,3
130,-77.74245332126173,39.76198741396692,2
131,-92.32839217209074,37.12277422833832,2
132,-80.32489590026088,40.98930175230835,3
133,-85.48884277261494,38.076649036392375,1
134,-75.54776837504605,38.28885246201025,1
135,-88.07297837587468,38.86899207171691,2
136,-73.84711688303881,41.76435531882273,1
137,-87.98676786545789,44.41870982171843,1
138,-97.92681924028862,36.37228604776551,3
139,-79.6978282719724,34.617812876298295,3
140,-86.46101275017843,36.048490994443135,1
141,-92.6390904422966,32.571482044481485,3
142,-84.98592841368809,33.019256843942074,2
143,-91.62296791623515,39.35856604617598,2
144,-82.08977772905223,37.86439635039352,2
145,-82.37158261809894,34.29322938037854,2
146,-85.50209963509562,35.08283282806378,1
147,-88.57534887500546,36.90870969298611,2
148,-73.29428404153151,44.22179701573248,2
149,-69.45941478984552,44.770922523428496,3
150,-93.1905773011717,38.70946129658663,3
151,-121.44342061066487,35.90543770661317,1
152,-73.6265569817339,41.13304277843634,1
153,-96.74887913368732,35.950489610142974,3
154,-95.26351449794508,46.69427409052558,2
155,-119.30541554627222,47.12064269308222,3
156,-82.56810003802964,37.33181667148399,2
157,-78.62494959499836,37.99332906165171,1
158,-104.51577760822124,33.19072426509107,2
159,-95.79829791143216,45.79527512163539,2
160,-82.73732108728755,42.82978590709921,1
161,-89.05500512465615,43.137669465715305,1
162,-84.17602667184245,37.669802452100654,2
163,-83.8716507269119,33.62803003832241,1
164,-80.83871286471344,27.28865079034089,3
165,-78.43771314011778,37.77417991386866,1
166,-91.85180194486372,44.546638385249146,2
167,-94.49783841500953,38.719699433253744,1
168,-82.25168561722214,28.265904749894183,1
169,-77.9846143444882,42.96747476609507,3
170,-80.69349854910301,41.49698499014523,1
171,-111.22318169473324,45.7664193516713,3
172,-83.55817843104633,38.869493250050986,2
173,-120.64102931523908,35.719196399699165,1
174,-84.41865711457072,43.86187800670984,2
175,-102.35742530947108,33.57101824994162,3
176,-89.33352881080154,38.67771113700163,1
177,-92.01910578810984,41.95681287767856,1
178,-72.81591765610497,41.7024197334341,1
179,-91.88551052293408,36.824996998208846,2
180,-79.67850042456632,39.99571587662145,1
181,-81.97977471455998,28.90843303303065,3
182,-92.52317579390154,41.006635798839774,2
183,-81.97388890942321,28.904203844808496,3
184,-82.97765898990083,44.06592977915539,2
185,-75.444574035413,42.92665167087885,1
186,-80.02363431432568,33.1410532772793,1
187,-97.79898234257888,38.1173597624918,2
188,-96.07510285029736,46.30760249146135,3
189,-81.00298054446536,32.44326838073492,2
190,-83.35144182379435,36.419517938104434,2
191,-83.20037168015651,41.437435691939214,2
192,-90.06387893016013,38.140967438223015,1
193,-95.7668973648074,34.940968587134044,3
194,-95.37666754904173,29.45901601832411,1
195,-93.78249872317404,38.33123993651338,3
196,-72.12414834450759,42.787982233978525,2
197,-77.65914862549992,42.33592753039717,3
198,-117.3504601329388,34.180168937494386,1
199,-71.79487136901935,43.350729801531145,2
200,-95.04619815312827,39.63258989465039,1
201,-83.95692221649226,42.02859895951128,3
202,-85.99144894728055,36.0958599896715,1
203,-86.10411689598986,42.890632300266894,1
204,-84.53501628699917,40.25530976923507,2
205,-92.64775641501396,41.30850323281921,3
206,-88.04822360279643,45.83697533032469,3
207,-92.49667657858107,36.31164993635748,2
208,-80.54520222507196,38.44036684567944,2
209,-119.4599277263311,39.34271618147986,2
210,-97.36228683785748,30.04235899159466,1
211,-89.95719735723542,32.376165777013625,1
212,-111.62693554581628,43.799336934343216,3
213,-94.52894212303131,36.32001241244139,1
214,-87.52061368774096,38.6770005738565,3
215,-90.84683446104468,33.35135569567976,2
216,-92.70445792367244,32.22269803361699,3
217,-87.53512570551838,37.833857966851966,1
218,-92.07978562564357,32.387598237657514,1
219,-90.78939928293376,44.22698093338476,2
220,-72.52095516552843,43.048494020792965,2
221,-92.57745289111544,38.358425987667935,3
222,-77.09381617900166,38.33607983241368,2
223,-82.24095173765494,37.56705440381271,2
224,-156.20908327505586,71.38278884231113,3
225,-106.9178306228378,35.17367350978393,1
226,-90.20901324655767,30.65787087023676,1
227,-86.98280434825051,33.38594504031551,1
228,-93.06294989207632,44.25009075612277,2
229,-99.12754672956942,38.93204551362041,2
230,-92.79694081280792,44.507517152101016,2
231,-85.36616969312907,41.38683105197608,2
232,-80.38018843320963,41.160580919305154,1
233,-104.69092636263896,38.97891698203016,1
234,-118.42966140980688,37.569230395684535,2
235,-90.01682075167538,37.797275343867625,2
236,-92.48488308632744,29.942830944502276,2
237,-90.99180801344124,38.73846468979421,1
238,-78.24998022425044,35.67026030367244,1
239,-122.79368396571633,38.40555188131847,1
240,-118.99640919151554,35.14409323163762,1
241,-80.63947065467346,38.3219788756739,2
242,-72.12148414911073,40.96182962684188,1
243,-106.10671424755462,38.555391910258464,2
244,-87.00243870816499,46.18338937782621,3
245,-83.94680383867941,42.57350080371905,1
246,-78.66899050498772,43.13410267414153,1
247,-82.93128996696134,34.76409809770618,3
248,-85.22024793731579,34.19910693353647,1
249,-98.50010207551765,38.60027751925798,2
250,-79.16483477125959,36.0016261903674,1
251,-94.01812998851892,32.55532950490467,1
252,-71.58373371078595,41.7681308651086,1
253,-73.95702772404968,43.09171478850493,1
254,-83.05256829986816,36.96794328934445,3
255,-96.61435271885556,33.46790647769554,1
256,-81.76214974066308,38.96606610627664,2
257,-122.04831655725768,47.38242785991574,1
258,-78.49647574517618,34.15352175541956,1
259,-78.09713789021528,38.902967801665405,1
260,-97.97933831361252,37.20172998468856,2
261,-86.99230987010634,35.687501286765794,2
262,-79.54186594455142,38.48400921662291,2
263,-80.49288098746406,25.59506542482624,1
264,-69.6343061662352,44.45718790951813,2
265,-121.02344780668558,39.133482195532544,2
266,-83.48229248092483,38.19398361508134,3
267,-92.50444732708698,47.76475721388171,1
268,-88.15335246498813,30.499680615787955,1
269,-93.4947443059013,41.79350824021068,1
270,-94.44801820606985,44.285976257469706,2
271,-93.0631589814337,41.69153519445204,3
272,-81.98194214017967,28.91913397687927,3
273,-90.59838591597038,33.93710665215651,2
274,-68.7389701758929,44.33509576558486,2
275,-95.38983011870236,35.76968905458448,3
276,-76.79240327730999,39.86877853589221,1
